record_type,instrument_or_case,expiry_years,strike_pct,underlying_rate_pct,volatility_pct,premium_bp,notional_mm,loan_spread_bp,swap_fixed_pct,futures_price,option_price_points,portfolio_dv01_usd,notes
borrower,Loan,3,,4.33,,0,50,175,4.45,,,,quarterly SOFR reset
rate_option,Cap,3,5.00,4.33,22,78,50,175,,,,,annual premium equivalent not assumed
rate_option,Floor,3,3.25,4.33,22,31,50,175,,,,,sold floor for collar
rate_option,Swap,3,,4.33,,0,50,175,4.45,,,,pay fixed receive SOFR
treasury_option,10Y Put 108,0.25,,4.66,8.5,0,0,,,109.75,0.72,10650,premium in price points not bp
treasury_option,10Y Put 106,0.25,,4.66,8.5,0,0,,,109.75,0.28,10650,premium in price points not bp
treasury_option,10Y Put Spread,0.25,,4.66,8.5,0,0,,,109.75,0.44,10650,long 108 put and short 106 put
vol_case,Low,0.25,108,4.66,6.0,0,0,,,109.75,0.48,10650,10Y futures put
vol_case,Base,0.25,108,4.66,8.5,0,0,,,109.75,0.72,10650,10Y futures put
vol_case,High,0.25,108,4.66,12.0,0,0,,,109.75,1.08,10650,10Y futures put
