date,maturity_years,par_yield_pct,event_label
2023-01-13,0.25,4.42,Restrictive policy expectations
2023-01-13,2,4.22,Restrictive policy expectations
2023-01-13,5,3.60,Restrictive policy expectations
2023-01-13,10,3.49,Restrictive policy expectations
2023-01-13,30,3.61,Restrictive policy expectations
2025-01-15,0.25,4.30,Policy normalization uncertainty
2025-01-15,2,4.27,Policy normalization uncertainty
2025-01-15,5,4.40,Policy normalization uncertainty
2025-01-15,10,4.66,Policy normalization uncertainty
2025-01-15,30,4.88,Policy normalization uncertainty
