bond_id,issuer,sector,rating,maturity_years,coupon_pct,price,yield_pct,duration,convexity,benchmark_weight_pct,current_weight_pct,bid_ask_bp,min_lot_usd,withdrawal_year,withdrawal_usd
GOV2,Sovereign,Government,AAA,2,4.00,99.55,4.24,1.88,4.7,10,8,1,10000,1,200000
GOV5,Sovereign,Government,AAA,5,4.25,99.35,4.40,4.45,23.8,12,9,1,10000,2,200000
GOV10,Sovereign,Government,AAA,10,4.50,98.75,4.66,7.85,72.0,10,13,2,10000,3,200000
AGY5,Housing Agency,Agency,AA+,5,4.65,99.20,4.84,4.35,22.5,7,6,3,25000,4,200000
FIN3,North Bank,Financial,A,3,5.10,100.10,5.06,2.70,8.8,9,12,8,25000,5,200000
FIN7,Union Bank,Financial,A-,7,5.45,99.40,5.56,5.75,39.0,8,10,10,25000,0,0
IND4,Apex Manufacturing,Industrial,BBB+,4,5.30,99.65,5.40,3.55,15.5,9,7,11,25000,0,0
IND8,Atlas Logistics,Industrial,BBB,8,5.85,98.80,6.04,6.35,47.8,8,5,16,25000,0,0
UTIL6,Northstar Utilities,Utility,A-,6,5.20,100.25,5.15,5.05,30.8,8,7,7,25000,0,0
UTIL12,Pacific Grid,Utility,BBB+,12,5.75,98.10,5.99,8.20,79.5,7,6,13,25000,0,0
MUNI5,Central City,Municipal,AA,5,4.45,100.40,4.36,4.55,24.7,6,5,9,50000,0,0
ABS3,Prime Auto Trust,Securitized,AAA,3,4.90,100.05,4.88,2.15,6.2,6,12,6,100000,0,0
