record_type,date_or_term,value_1,value_2,value_3,value_4,notes
short_rate,2023-01-31,4.33,,,,annualized percent
short_rate,2023-04-30,5.06,,,,annualized percent
short_rate,2023-07-31,5.31,,,,annualized percent
short_rate,2023-10-31,5.33,,,,annualized percent
short_rate,2024-01-31,5.33,,,,annualized percent
short_rate,2024-04-30,5.33,,,,annualized percent
short_rate,2024-07-31,5.33,,,,annualized percent
short_rate,2024-10-31,4.83,,,,annualized percent
short_rate,2025-01-31,4.33,,,,annualized percent
short_rate,2025-04-30,4.33,,,,annualized percent
short_rate,2025-07-31,4.33,,,,annualized percent
short_rate,2025-10-31,4.08,,,,annualized percent
zero_curve,0.5,4.32,,,,zero rate percent
zero_curve,1,4.28,,,,zero rate percent
zero_curve,2,4.25,,,,zero rate percent
zero_curve,5,4.38,,,,zero rate percent
zero_curve,10,4.62,,,,zero rate percent
vasicek_parameters,base,0.35,4.00,1.10,4.33,kappa per year theta percent sigma percent current rate percent
mean_reversion_case,slow,0.10,4.00,1.10,98.30,kappa theta percent sigma percent five-year bond price
mean_reversion_case,base,0.35,4.00,1.10,98.85,kappa theta percent sigma percent five-year bond price
mean_reversion_case,fast,0.90,4.00,1.10,99.35,kappa theta percent sigma percent five-year bond price
hull_white,calibrated,0.12,1.00,0.00,0.00,mean reversion volatility percent max curve price error bp
pension_scenario,historical_parallel_up,1.00,-21.0,-25.0,-4.0,rate shock percent asset change million liability change million surplus change million
pension_scenario,vasicek_95th,1.35,-27.8,-32.5,-4.7,rate shock percent asset change million liability change million surplus change million
pension_scenario,hull_white_twist,0.75,-18.2,-22.9,-4.7,long-end shock percent asset change million liability change million surplus change million
pension_case,liability,250,12.0,10.8,35,PV million liability duration asset duration funding gap million
