record_type,item_or_node,time_years,state,rate_pct,price_or_value,coupon_pct,maturity_years,call_price,static_spread_bp,oas_bp,volatility_pct,notes
bond,Callable-A,0,,4.60,102.10,6.00,8,100,165,92,14,Callable annually after year 3
bond,OptionFree-B,0,,4.60,99.20,5.25,8,,118,118,14,Senior unsecured bullet
tree,root,0,0,4.30,,,,,,,,risk-neutral up probability 0.5
tree,n1_up,1,1,5.35,,,,,,,,one-year node
tree,n1_down,1,-1,3.55,,,,,,,,one-year node
tree,n2_up,2,2,6.10,,,,,,,,two-year node
tree,n2_mid,2,0,4.25,,,,,,,,two-year node
tree,n2_down,2,-2,2.85,,,,,,,,two-year node
tree_terms,Teaching Callable Note,0,,4.30,100.00,5.00,2,100,,75,14,Callable at year 1 after coupon payment
mortgage,falling_rates,1,,3.50,104.2,,5.1,,,48,,duration years 2.9 and convexity -1.8
mortgage,base_rates,1,,4.60,100.0,,6.8,,,62,,duration years 4.6 and convexity -2.4
mortgage,rising_rates,1,,5.70,94.1,,8.7,,,78,,duration years 6.7 and convexity -1.2
oas_model,Vendor-A,0,,4.60,102.10,6.00,8,100,165,92,14,Treasury curve with lognormal volatility
oas_model,Vendor-B,0,,4.60,102.10,6.00,8,100,165,116,10,Swap curve with lower volatility and quarterly exercise
